330.343	445.575	
329.329	446.324	
328.542	447.373	
327.923	447.959	
327.629	448.838	
326.99	449.997	
326.963	450.993	
326.979	451.998	
326.983	453.001	
326.925	454.009	
327.049	454.988	
327.484	455.776	
328.048	456.947	
329.06	457.857	
329.995	458.104	
330.964	457.844	
332.099	457.155	
332.706	456.674	
333.499	455.637	
333.918	454.954	
334.297	454.146	
334.784	452.935	
335.379	452.077	
335.358	451.043	
335.519	449.994	
335.495	448.945	
335.337	447.934	
335.21	446.913	
334.444	446.368	
333.669	445.523	
332.885	445.319	
332	445.014	
331.039	445.098	
